id,type,initial_frame,detection_duration,lenght
0,car,1,41,117.513427734375
1,truck,2,6,179.7257080078125
2,truck,3,1,266.224365234375
3,car,23,21,159.73895263671875
4,car,23,14,77.17041015625
5,truck,30,35,278.373046875
6,car,35,1,89.212890625
7,train,95,43,485.09278869628906
8,car,109,43,205.249267578125
9,car,142,44,130.74847412109375
10,truck,150,4,109.5419921875
11,car,155,48,165.47068786621094
12,car,189,69,153.03765869140625
13,car,205,41,153.7738037109375
14,truck,228,28,407.5263671875
15,train,293,2,238.054443359375
16,truck,296,30,354.23291015625
17,train,327,16,420.5577392578125
18,car,359,75,132.0069580078125
19,car,366,27,105.4327392578125
20,car,413,70,141.3883056640625
21,car,419,48,194.55950927734372
22,car,461,72,121.8812255859375
23,car,471,3,53.064697265625
24,car,494,56,153.73248291015625
25,car,544,11,129.3353271484375
26,car,548,38,131.709716796875
27,truck,552,1,221.3919677734375
28,car,560,28,155.77587890625
29,car,584,2,94.807861328125
30,bus,598,11,164.7525634765625
31,truck,615,30,378.7125244140625
32,car,649,50,182.014892578125
33,car,658,52,134.58154296875
34,car,686,36,147.1441650390625
35,car,701,53,160.70545959472656
36,car,710,34,121.1141357421875
37,car,736,56,151.8221435546875
38,car,752,50,149.52764892578125
39,motorcycle,765,6,73.321044921875
40,car,771,1,76.6651611328125
41,car,778,19,129.6103515625
42,car,787,53,151.265380859375
43,train,810,1,521.28515625
44,car,826,53,166.20477294921875
45,car,835,14,80.6356201171875
46,train,859,14,410.1743774414063
47,car,866,2,86.22750854492188
48,car,884,1,53.529541015625
49,train,894,16,604.4073486328125
50,car,905,23,103.5418701171875
51,truck,914,20,214.5792236328125
52,car,929,60,103.126220703125
53,truck,975,2,181.05078125
54,car,982,63,146.13385009765625
55,car,995,62,160.5535888671875
56,car,1005,52,125.5672607421875
57,car,1020,61,171.1087646484375
58,truck,1040,8,146.8896484375
59,car,1050,21,302.05877685546875
60,train,1063,1,516.06591796875
61,truck,1067,1,96.982177734375
62,car,1102,8,80.683837890625
63,car,1118,40,162.01336669921875
64,car,1120,49,163.27001953125
65,car,1158,50,156.83937072753906
66,car,1165,58,126.5760498046875
67,car,1175,42,127.7255859375
68,car,1193,1,44.2490234375
69,car,1202,48,176.53662109375
70,truck,1226,58,405.15179443359375
71,car,1242,54,159.398193359375
72,car,1271,55,181.40802001953125
73,car,1281,41,146.4425048828125
74,train,1309,79,324.76307678222656
75,train,1317,2,322.03843688964844
76,car,1351,10,119.4837646484375
77,truck,1356,4,205.8251953125
78,car,1358,37,134.828125
79,car,1369,58,173.59246826171875
80,train,1400,48,403.8349609375
81,car,1436,58,127.3902587890625
82,car,1442,59,174.05889892578125
83,car,1474,69,137.4356689453125
84,car,1499,60,160.45375061035156
85,car,1512,54,160.82899475097656
86,car,1516,12,116.174560546875
87,car,1549,67,131.3419189453125
88,car,1554,2,88.635986328125
89,car,1568,41,154.93414306640625
90,car,1573,51,179.67431640625
91,truck,1575,29,259.91143798828125
92,car,1583,70,153.7039794921875
93,car,1629,7,116.8638916015625
94,car,1669,1,88.412109375
95,truck,1688,44,215.489501953125
96,car,1692,55,159.68955993652344
97,car,1725,69,121.03271484375
98,car,1749,9,176.0625
99,car,1786,54,183.5111083984375
100,car,1792,16,53.4580078125
101,truck,1805,44,204.65782165527344
102,car,1812,53,155.19482421875
103,car,1849,48,139.4935302734375
104,car,1851,3,86.9404296875
105,car,1870,59,170.59075927734375
106,car,1877,48,149.24566650390625
107,car,1886,68,111.900390625
108,truck,1920,19,184.51824951171875
109,car,1950,59,133.56036376953125
110,motorcycle,1953,60,81.5823974609375
111,motorcycle,1962,1,73.93988037109375
112,truck,1965,18,121.156982421875
113,car,1982,53,197.36785888671875
114,truck,1999,30,193.9891357421875
115,truck,2017,44,281.0274658203125
116,car,2033,14,111.76116943359376
117,car,2035,55,170.0072021484375
118,car,2060,42,161.1053466796875
119,car,2067,32,116.3240966796875
120,truck,2087,32,234.65484619140625
121,car,2109,61,132.9893798828125
122,car,2125,52,147.5472412109375
123,car,2140,63,138.448486328125
124,car,2152,44,145.1854248046875
125,car,2162,53,166.53773498535156
126,car,2185,7,119.81878662109376
127,car,2189,20,129.474365234375
128,car,2221,52,157.69097900390625
129,car,2230,68,149.00701904296875
130,car,2262,61,128.7049560546875
131,car,2282,58,161.5712890625
132,car,2293,32,127.0968017578125
133,truck,2318,42,205.69073486328125
134,car,2330,58,182.89996337890625
135,truck,2362,3,124.09808349609376
136,truck,2387,33,176.75132751464844
137,car,2406,28,68.132568359375
138,truck,2417,46,174.4962158203125
139,car,2434,54,187.3829498291016
140,car,2462,65,138.03857421875
141,truck,2484,54,293.21533203125
142,truck,2489,12,146.400634765625
143,car,2505,48,157.35504150390625
144,train,2517,10,407.8759765625
145,car,2532,59,140.6708984375
146,car,2542,37,126.515380859375
147,truck,2560,3,251.902587890625
148,car,2584,40,159.195068359375
149,truck,2598,30,375.3104553222656
150,car,2620,53,119.73193359375
151,truck,2626,17,210.18019104003903
152,truck,2655,21,192.9251708984375
153,car,2670,4,123.20123291015624
154,truck,2683,29,263.0657958984375
155,car,2712,29,162.586669921875
156,truck,2743,26,276.5452880859375
157,car,2744,49,197.5836181640625
158,car,2782,60,151.1922607421875
159,train,2793,8,420.9586486816406
160,car,2806,2,117.5999755859375
161,car,2826,1,99.51904296875
162,car,2843,53,182.70684814453125
163,truck,2844,2,251.53515625
164,car,2847,3,73.5537109375
165,car,2847,51,146.0577392578125
166,car,2873,12,145.21734619140625
167,car,2877,59,134.39654541015625
168,car,2889,52,162.14410400390625
169,truck,2919,15,151.9813232421875
170,car,2937,14,151.0809326171875
171,car,2952,52,150.15708923339844
